Nome;Tempo;Corrette;Percentuale;Data;Domande;TempoDomanda
Lollo;122;13/15;87%;10/11/2025, 01:17:26;15;15
0Test;17;4/15;27%;14/11/2025, 16:02:54;15;N/A
